,acc
0,1.0
1,0.95
2,1.0
3,0.9
4,0.95
5,0.95
6,0.95
7,0.9
8,1.0
9,1.0
10,1.0
11,0.95
12,1.0
13,0.95
14,0.95
15,0.95
16,0.75
17,0.85
18,0.95
19,1.0
20,0.9
21,0.8
22,1.0
23,1.0
24,1.0
25,1.0
26,0.9
27,1.0
28,1.0
29,1.0
30,1.0
31,0.95
32,1.0
33,0.85
34,0.95
35,1.0
36,1.0
37,0.85
38,0.95
39,0.95
40,1.0
41,1.0
42,0.9
43,0.95
44,0.9
45,0.85
46,0.9
47,1.0
48,0.9
49,1.0
50,0.95
51,1.0
52,0.9
53,1.0
54,0.95
55,1.0
56,0.95
57,1.0
58,0.9
59,1.0
60,0.85
61,0.9
62,1.0
63,1.0
64,1.0
65,0.8
66,0.9
67,0.95
68,0.95
69,0.9
70,1.0
71,0.9
72,0.95
73,0.95
74,1.0
75,1.0
76,0.95
77,0.85
78,0.95
79,0.95
80,0.9
81,1.0
82,0.95
83,0.95
84,0.9
85,1.0
86,0.85
87,0.9
88,0.95
89,1.0
90,1.0
91,0.95
92,0.95
93,1.0
94,0.95
95,0.9
96,0.9
97,0.95
98,1.0
99,0.95
100,0.9
101,0.95
102,0.85
103,0.95
104,1.0
105,0.95
106,1.0
107,0.85
108,0.95
109,0.95
110,0.95
111,0.9
112,0.95
113,1.0
114,0.95
115,0.95
116,1.0
117,0.9
118,1.0
119,0.95
120,0.95
121,0.75
122,0.9
123,0.8
124,1.0
125,0.85
126,0.95
127,0.85
128,1.0
129,0.9
130,0.95
131,0.95
132,0.95
133,1.0
134,0.95
135,0.95
136,0.95
137,0.95
138,0.95
139,0.85
140,1.0
141,1.0
142,0.95
143,0.95
144,0.95
145,1.0
146,0.95
147,0.95
148,1.0
149,0.75
150,0.95
151,1.0
152,0.95
153,0.95
154,1.0
155,0.9
156,0.95
157,0.95
158,0.8
159,0.9
160,0.95
161,1.0
162,1.0
163,0.9
164,1.0
165,0.9
166,0.95
167,0.9
168,0.95
169,1.0
170,1.0
171,0.95
172,0.95
173,0.95
174,0.95
175,1.0
176,1.0
177,0.95
178,0.9
179,1.0
180,0.9
181,0.95
182,0.9
183,0.95
184,0.95
185,0.85
186,0.85
187,0.9
188,0.85
189,1.0
190,0.95
191,0.95
192,0.95
193,1.0
194,1.0
195,1.0
196,0.9
197,0.85
198,1.0
199,0.95
200,0.9
201,0.95
202,0.95
203,0.9
204,0.9
205,0.95
206,1.0
207,0.95
208,0.95
209,0.95
210,1.0
211,0.9
212,1.0
213,0.9
214,0.95
215,1.0
216,0.95
217,1.0
218,1.0
219,0.95
220,0.85
221,1.0
222,0.9
223,1.0
224,1.0
225,0.95
226,0.85
227,0.9
228,1.0
229,1.0
230,0.95
231,1.0
232,1.0
233,0.9
234,1.0
235,1.0
236,1.0
237,0.95
238,0.8
239,1.0
240,0.9
241,0.9
242,1.0
243,1.0
244,1.0
245,0.9
246,0.95
247,1.0
248,0.95
249,1.0
250,1.0
251,0.85
252,0.85
253,0.9
254,1.0
255,0.95
256,0.9
257,0.9
258,0.95
259,0.95
260,1.0
261,0.95
262,0.95
263,0.95
264,0.95
265,0.95
266,0.9
267,1.0
268,0.9
269,0.95
270,1.0
271,0.9
272,1.0
273,0.9
274,0.95
275,1.0
276,0.9
277,0.9
278,0.9
279,0.85
280,1.0
281,1.0
282,0.9
283,1.0
284,0.9
285,0.9
286,0.95
287,1.0
288,0.95
289,1.0
290,0.95
291,0.9
292,1.0
293,0.95
294,0.95
295,1.0
296,1.0
297,0.95
298,0.9
299,0.95
300,0.95
301,0.85
302,0.95
303,0.95
304,1.0
305,0.8
306,1.0
307,0.95
308,1.0
309,0.9
310,1.0
311,1.0
312,0.95
313,1.0
314,0.85
315,1.0
316,0.95
317,0.9
318,1.0
319,1.0
320,1.0
321,0.95
322,0.95
323,1.0
324,0.95
325,1.0
326,0.9
327,0.95
328,0.95
329,0.85
330,0.95
331,0.95
332,0.85
333,0.95
334,0.85
335,0.95
336,1.0
337,0.95
338,1.0
339,1.0
340,0.95
341,0.95
342,0.9
343,0.95
344,1.0
345,0.95
346,0.8
347,0.85
348,1.0
349,0.9
350,1.0
351,1.0
352,0.9
353,0.9
354,0.9
355,0.9
356,0.95
357,1.0
358,0.95
359,1.0
360,1.0
361,0.9
362,1.0
363,1.0
364,1.0
365,0.9
